# fps: 10.000000
# x,y,z,qx,qy,qz,qw
0,0,0,0,0,0,1
0.0047528,0.060226,0.00316602,0.0205154,0.0238288,-0.729554,0.6832
-0.00172689,0.0864778,0.00697526,0.028369,0.0346579,-0.751653,0.658036
-0.00127754,0.108026,0.0158429,0.0334086,0.0428998,-0.770631,0.634957
-0.00815684,0.141645,0.0297048,0.0367069,0.0503177,-0.790218,0.609653
0.00266511,0.163438,0.0452181,0.039434,0.0578571,-0.80902,0.583596
0.00719054,0.184641,0.0561375,0.0423924,0.0653653,-0.82635,0.557742
-0.00112292,0.186692,0.0503743,0.0447165,0.0708569,-0.843068,0.531241
0.00978894,0.197674,0.0487312,0.0453746,0.0788072,-0.858866,0.504062
-0.0128298,0.205149,0.0458713,0.0446044,0.0835011,-0.873997,0.476621
0.00844221,0.192053,0.048471,0.0440906,0.0899142,-0.888179,0.448451
0.0174613,0.210187,0.0538522,0.0430477,0.0966164,-0.901376,0.419922
-0.00362549,0.219879,0.0651265,0.042646,0.102062,-0.913975,0.390402
-0.0232118,0.212527,0.0618345,0.0411295,0.108583,-0.924865,0.362137
-0.0349248,0.224524,0.0869986,0.0399497,0.1134,-0.935469,0.33233
-0.0389068,0.238107,0.10016,0.0349143,0.119308,-0.944834,0.303044
-0.0429408,0.24516,0.0975356,0.0329749,0.124325,-0.953251,0.273439
-0.0574521,0.246229,0.104363,0.0308279,0.128535,-0.960832,0.243579
-0.0543252,0.267659,0.0922482,0.0288626,0.133664,-0.967382,0.213244
-0.0505957,0.280183,0.0949775,0.0256203,0.138565,-0.973223,0.181606
-0.0486966,0.295414,0.0869058,0.0222839,0.142935,-0.978139,0.14939
-0.0353465,0.296067,0.0932074,0.0185022,0.14674,-0.981767,0.119412
-0.0376775,0.292073,0.0999841,0.0145943,0.149293,-0.984847,0.0870363
-0.0425258,0.294351,0.100134,0.0103306,0.151956,-0.98675,0.055917
-0.0630491,0.296108,0.0992191,0.00567203,0.155873,-0.987415,0.0261391
-0.0559297,0.301716,0.107768,-0.000194832,-0.158065,0.987419,0.00448695
-0.0392315,0.308231,0.0781024,0.0060045,-0.16126,0.98626,0.0353539
-0.0444655,0.326698,0.0921873,0.011872,-0.164151,0.984201,0.0652914
