# fps: 30.000000
# x,y,z,qx,qy,qz,qw
0,0,0,0,0,0,1
7.45058e-09,0.0632455,0.0020019,0.0216568,0.0230636,-0.728625,0.684182
1.49012e-08,0.0893978,0.00400415,0.029588,0.0335653,-0.749401,0.660602
-0,0.109435,0.00600601,0.0349266,0.0422272,-0.769415,0.636394
-0,0.126301,0.00800794,0.0387766,0.0500035,-0.788648,0.61158
-2.98023e-08,0.141138,0.0100099,0.0415744,0.0572411,-0.807082,0.586186
1.49012e-08,0.154531,0.012012,0.0435485,0.0641057,-0.824699,0.560237
-2.98023e-08,0.166828,0.0140142,0.0448376,0.0706871,-0.841482,0.533761
-2.98023e-08,0.178257,0.016016,0.0455334,0.0770371,-0.857416,0.506783
-1.49012e-08,0.188975,0.018018,0.0457025,0.0831883,-0.872486,0.479332
-2.98023e-08,0.199096,0.02002,0.0453937,0.0891595,-0.886678,0.451434
-0,0.208708,0.0220218,0.0446454,0.0949616,-0.899978,0.423117
-5.96046e-08,0.217878,0.0240241,0.0434892,0.100602,-0.912375,0.394411
-0,0.22666,0.026026,0.0419503,0.106081,-0.923857,0.365344
-2.98023e-08,0.235097,0.0280281,0.0400511,0.1114,-0.934413,0.335945
-0,0.243225,0.03003,0.0378106,0.116556,-0.944034,0.306243
-1.49012e-08,0.251074,0.0320321,0.0352464,0.121547,-0.952712,0.276269
-0,0.258669,0.0340339,0.0323738,0.126368,-0.960438,0.246051
-0,0.266033,0.036036,0.0292075,0.131015,-0.967207,0.215622
-0,0.273183,0.038038,0.0257607,0.135482,-0.973012,0.18501
-0,0.280137,0.04004,0.0220463,0.139764,-0.977849,0.154246
1.49012e-08,0.286909,0.042042,0.0180766,0.143855,-0.981713,0.123361
7.45058e-09,0.29351,0.0440441,0.0138633,0.147749,-0.984603,0.0923852
-7.45058e-09,0.299953,0.046046,0.00941789,0.151441,-0.986516,0.0613501
3.72529e-09,0.306247,0.048048,0.00475166,0.154924,-0.987451,0.030286
-1.16415e-10,0.312402,0.05005,0.000124344,-0.158193,0.987408,0.000776131
-0,0.318425,0.0520521,0.00519918,-0.161242,0.986389,0.0318057
7.45058e-09,0.324324,0.0540539,0.010462,-0.164066,0.984395,0.0627718
7.45058e-09,0.330106,0.056056,0.0159019,-0.166659,0.981429,0.0936441
2.98023e-08,0.335776,0.058058,0.0215083,-0.169016,0.977496,0.124392
1.49012e-08,0.34134,0.06006,0.0272702,-0.171133,0.972599,0.154985
-0,0.346803,0.0620621,0.033177,-0.173004,0.966746,0.185393
2.98023e-08,0.35217,0.064064,0.0392179,-0.174625,0.959943,0.215587
-0,0.357446,0.066066,0.045382,-0.175993,0.952197,0.245536
5.96046e-08,0.362633,0.0680679,0.0516585,-0.177103,0.943517,0.275211
-0,0.367737,0.0700701,0.0580366,-0.177952,0.933913,0.304583
-2.98023e-08,0.37276,0.0720719,0.0645053,-0.178536,0.923395,0.333624
-0,0.377705,0.0740741,0.0710538,-0.178853,0.911975,0.362304
-8.9407e-08,0.382576,0.076076,0.0776709,-0.1789,0.899665,0.390597
-2.98023e-08,0.387376,0.0780781,0.084346,-0.178675,0.886477,0.418473
-0,0.392106,0.0800798,0.0910676,-0.178176,0.872426,0.445907
-0,0.39677,0.0820821,0.0978253,-0.177401,0.857527,0.47287
-0,0.40137,0.0840839,0.104608,-0.17635,0.841795,0.499338
-0,0.405908,0.0860862,0.111404,-0.175021,0.825247,0.525285
-5.96046e-08,0.410386,0.0880881,0.118203,-0.173413,0.8079,0.550684
-0,0.414806,0.0900899,0.124993,-0.171527,0.789772,0.575513
-0,0.41917,0.092092,0.131765,-0.169364,0.770882,0.599746
-5.96046e-08,0.423479,0.0940941,0.138506,-0.166922,0.751249,0.62336
-0,0.427736,0.0960961,0.145207,-0.164204,0.730894,0.646333
-0,0.431941,0.098098,0.151855,-0.161211,0.709837,0.668643
-2.98023e-08,0.436096,0.1001,0.158442,-0.157944,0.6881,0.690267
2.98023e-08,0.440204,0.102102,0.164955,-0.154405,0.665705,0.711187
-2.98023e-08,0.444264,0.104104,0.171384,-0.150598,0.642675,0.73138
-0,0.448279,0.106106,0.177719,-0.146523,0.619034,0.750829
-2.98023e-08,0.452249,0.108108,0.183949,-0.142186,0.594806,0.769514
-0,0.456175,0.11011,0.190065,-0.137588,0.570014,0.787419
-2.98023e-08,0.46006,0.112112,0.196055,-0.132735,0.544686,0.804526
-2.98023e-08,0.463903,0.114114,0.20191,-0.127629,0.518845,0.820818
1.49012e-08,0.467706,0.116116,0.207621,-0.122276,0.492518,0.836282
1.49012e-08,0.47147,0.118118,0.213178,-0.116681,0.465733,0.850902
-2.98023e-08,0.475196,0.12012,0.21857,-0.110848,0.438515,0.864665
-2.98023e-08,0.478884,0.122122,0.223789,-0.104783,0.410892,0.877557
-0,0.482536,0.124124,0.228826,-0.0984924,0.382892,0.889568
2.98023e-08,0.486153,0.126126,0.233672,-0.0919818,0.354543,0.900686
-2.23517e-08,0.489734,0.128128,0.238317,-0.0852579,0.325874,0.910902
-7.45058e-09,0.493281,0.13013,0.242755,-0.0783273,0.296914,0.920205
-0,0.496795,0.132132,0.246976,-0.0711973,0.26769,0.928588
-1.49012e-08,0.500276,0.134134,0.250972,-0.0638751,0.238233,0.936044
-1.49012e-08,0.503725,0.136136,0.254736,-0.0563684,0.208572,0.942566
-1.11759e-08,0.507143,0.138138,0.258261,-0.0486851,0.178736,0.948148
2.23517e-08,0.51053,0.14014,0.261539,-0.0408334,0.148756,0.952786
-0,0.513887,0.142142,0.264563,-0.0328218,0.118661,0.956477
2.79397e-09,0.517214,0.144144,0.267327,-0.024659,0.0884808,0.959218
1.86265e-09,0.520513,0.146146,0.269825,-0.0163538,0.0582457,0.961007
-9.31323e-10,0.523783,0.148148,0.27205,-0.00791551,0.0279856,0.961843
-1.16415e-10,0.527025,0.15015,0.273997,0.000646601,-0.00226956,0.961728
-1.86265e-09,0.53024,0.152152,0.275661,0.00932291,-0.0324897,0.96066
-5.58794e-09,0.533427,0.154154,0.277036,0.0181036,-0.062645,0.958644
-1.86265e-09,0.536589,0.156156,0.278119,0.0269788,-0.0927056,0.955682
-3.72529e-09,0.539724,0.158158,0.278904,0.0359384,-0.122642,0.951777
-0,0.542834,0.16016,0.279388,0.0449719,-0.152424,0.946935
-7.45058e-09,0.545919,0.162162,0.279567,0.0540691,-0.182024,0.941162
3.72529e-09,0.548979,0.164164,0.279438,0.0632192,-0.211411,0.934464
2.23517e-08,0.552015,0.166166,0.278998,0.0724116,-0.240556,0.926849
-2.98023e-08,0.555028,0.168168,0.278244,0.0816355,-0.269432,0.918326
-2.98023e-08,0.558016,0.17017,0.277175,0.0908799,-0.298011,0.908903
4.47035e-08,0.560982,0.172172,0.275789,0.100134,-0.326263,0.898592
-2.98023e-08,0.563925,0.174174,0.274083,0.109386,-0.354161,0.887402
1.49012e-08,0.566846,0.176176,0.272059,0.118626,-0.381678,0.875348
-0,0.569744,0.178178,0.269714,0.127842,-0.408788,0.86244
-2.98023e-08,0.572621,0.18018,0.267049,0.137022,-0.435463,0.848694
-5.96046e-08,0.575477,0.182182,0.264063,0.146156,-0.461679,0.834123
-5.96046e-08,0.578312,0.184184,0.260758,0.155233,-0.487408,0.818744
-5.96046e-08,0.581126,0.186186,0.257135,0.16424,-0.512628,0.802571
-5.96046e-08,0.583919,0.188188,0.253194,0.173167,-0.537312,0.785622
-2.98023e-08,0.586692,0.19019,0.248937,0.182003,-0.561438,0.767915
5.96046e-08,0.589446,0.192192,0.244368,0.190736,-0.584981,0.749467
-0,0.59218,0.194194,0.239488,0.199356,-0.60792,0.730299
-0,0.594894,0.196196,0.234299,0.20785,-0.630232,0.710429
5.96046e-08,0.59759,0.198198,0.228807,0.216209,-0.651896,0.689879
-1.19209e-07,0.600267,0.2002,0.223013,0.224422,-0.672891,0.668669
-5.96046e-08,0.602925,0.202202,0.216923,0.232476,-0.693197,0.646821
-0,0.605565,0.204204,0.210541,0.240363,-0.712794,0.624358
-0,0.608187,0.206206,0.203872,0.248071,-0.731665,0.601302
-0,0.610791,0.208208,0.19692,0.255591,-0.74979,0.577677
5.96046e-08,0.613377,0.21021,0.189692,0.262911,-0.767154,0.553506
-0,0.615947,0.212212,0.182193,0.270022,-0.78374,0.528816
-1.19209e-07,0.618499,0.214214,0.17443,0.276914,-0.799531,0.50363
5.96046e-08,0.621034,0.216216,0.166409,0.283577,-0.814514,0.477973
-5.96046e-08,0.623552,0.218218,0.158137,0.290003,-0.828675,0.451873
5.96046e-08,0.626054,0.22022,0.149622,0.296181,-0.841999,0.425355
-0,0.628539,0.222222,0.140872,0.302103,-0.854476,0.398446
5.96046e-08,0.631009,0.224224,0.131894,0.30776,-0.866094,0.371173
-5.96046e-08,0.633462,0.226226,0.122696,0.313143,-0.876841,0.343564
-5.96046e-08,0.6359,0.228228,0.113287,0.318245,-0.886709,0.315646
-0,0.638322,0.23023,0.103677,0.323058,-0.895689,0.287447
-0,0.640728,0.232232,0.0938732,0.327573,-0.903773,0.258996
-0,0.643119,0.234234,0.0838864,0.331783,-0.910953,0.230321
